------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Fitter Resource Utilization by Entity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
; Compilation Hierarchy Node                                                      ; ALMs needed [=A-B+C] ; [A] ALMs used in final placement ; [B] Estimate of ALMs recoverable by dense packing ; [C] Estimate of ALMs unavailable ; ALMs used for memory ; Combinational ALUTs ; Dedicated Logic Registers ; I/O Registers ; Block Memory Bits ; M20Ks ; DSP Blocks ; Pins ; Virtual Pins ; Full Hierarchy Name                                                                                                                                                                                                                                         ; Entity Name     ; Library Name ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
;       |maxPool:\generate_maxPool:38:other_maxPool:maxPool_i|                    ; 503.7 (0.0)          ; 710.7 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 64 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:38:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 8.8 (8.8)            ; 10.8 (10.8)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 10 (10)             ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:38:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 494.9 (494.9)        ; 700.0 (700.0)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 54 (54)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:38:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:39:other_maxPool:maxPool_i|                    ; 504.1 (0.0)          ; 711.1 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 64 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:39:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 9.2 (9.2)            ; 11.2 (11.2)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 10 (10)             ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:39:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 494.8 (494.8)        ; 699.9 (699.9)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 54 (54)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:39:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:3:other_maxPool:maxPool_i|                     ; 506.2 (0.0)          ; 714.2 (0.0)                      ; 207.9 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 68 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:3:other_maxPool:maxPool_i                                                                                                                                                                            ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 9.0 (9.0)            ; 10.9 (10.9)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:3:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                           ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 497.3 (497.3)        ; 703.2 (703.2)                    ; 206.0 (206.0)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 59 (59)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:3:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                           ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:40:other_maxPool:maxPool_i|                    ; 503.0 (0.0)          ; 709.8 (0.0)                      ; 206.9 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 62 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:40:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 8.5 (8.5)            ; 10.5 (10.5)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:40:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 494.4 (494.4)        ; 699.3 (699.3)                    ; 204.9 (204.9)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 53 (53)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:40:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:41:other_maxPool:maxPool_i|                    ; 503.5 (0.0)          ; 710.5 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 63 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:41:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 9.0 (9.0)            ; 11.0 (11.0)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 10 (10)             ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:41:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 494.4 (494.4)        ; 699.5 (699.5)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 53 (53)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:41:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:42:other_maxPool:maxPool_i|                    ; 505.2 (0.0)          ; 712.8 (0.0)                      ; 207.6 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 67 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:42:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 8.9 (8.9)            ; 10.8 (10.8)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:42:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 496.3 (496.3)        ; 702.0 (702.0)                    ; 205.7 (205.7)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 58 (58)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:42:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:43:other_maxPool:maxPool_i|                    ; 504.6 (0.0)          ; 711.7 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 62 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:43:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 9.5 (9.5)            ; 11.5 (11.5)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:43:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 495.1 (495.1)        ; 700.2 (700.2)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 53 (53)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:43:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:44:other_maxPool:maxPool_i|                    ; 504.5 (0.0)          ; 711.5 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 63 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:44:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 9.7 (9.7)            ; 11.7 (11.7)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 10 (10)             ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:44:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 494.8 (494.8)        ; 699.8 (699.8)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 53 (53)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:44:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:45:other_maxPool:maxPool_i|                    ; 505.6 (0.0)          ; 713.3 (0.0)                      ; 207.8 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 67 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:45:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 8.7 (8.7)            ; 10.7 (10.7)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:45:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 496.8 (496.8)        ; 702.7 (702.7)                    ; 205.8 (205.8)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 58 (58)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:45:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:46:other_maxPool:maxPool_i|                    ; 505.0 (0.0)          ; 712.0 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 64 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:46:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 9.4 (9.4)            ; 11.3 (11.3)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 10 (10)             ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:46:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 495.6 (495.6)        ; 700.7 (700.7)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 54 (54)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:46:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:47:other_maxPool:maxPool_i|                    ; 504.2 (0.0)          ; 711.2 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 63 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:47:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 9.4 (9.4)            ; 11.3 (11.3)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 10 (10)             ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:47:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 494.8 (494.8)        ; 699.9 (699.9)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 53 (53)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:47:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:48:other_maxPool:maxPool_i|                    ; 504.1 (0.0)          ; 711.2 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 63 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:48:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 9.3 (9.3)            ; 11.2 (11.2)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 10 (10)             ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:48:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 494.8 (494.8)        ; 699.9 (699.9)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 53 (53)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:48:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:49:other_maxPool:maxPool_i|                    ; 505.6 (0.0)          ; 713.4 (0.0)                      ; 207.8 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 67 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:49:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 9.3 (9.3)            ; 11.3 (11.3)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:49:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 496.3 (496.3)        ; 702.2 (702.2)                    ; 205.8 (205.8)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 58 (58)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:49:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:4:other_maxPool:maxPool_i|                     ; 505.3 (0.0)          ; 713.1 (0.0)                      ; 207.8 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 67 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:4:other_maxPool:maxPool_i                                                                                                                                                                            ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 8.7 (8.7)            ; 10.7 (10.7)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:4:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                           ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 496.6 (496.6)        ; 702.4 (702.4)                    ; 205.8 (205.8)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 58 (58)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:4:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                           ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:50:other_maxPool:maxPool_i|                    ; 505.6 (0.0)          ; 712.7 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 63 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:50:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 10.0 (10.0)          ; 12.0 (12.0)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 10 (10)             ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:50:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 495.6 (495.6)        ; 700.7 (700.7)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 53 (53)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:50:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:51:other_maxPool:maxPool_i|                    ; 505.1 (0.0)          ; 712.2 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 62 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:51:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 9.4 (9.4)            ; 11.3 (11.3)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:51:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 495.8 (495.8)        ; 700.8 (700.8)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 53 (53)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:51:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:52:other_maxPool:maxPool_i|                    ; 503.6 (0.0)          ; 710.7 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 62 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:52:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 8.5 (8.5)            ; 10.4 (10.4)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:52:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 495.2 (495.2)        ; 700.2 (700.2)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 53 (53)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:52:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:53:other_maxPool:maxPool_i|                    ; 503.6 (0.0)          ; 710.7 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 62 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:53:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 8.7 (8.7)            ; 10.7 (10.7)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:53:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 494.9 (494.9)        ; 700.0 (700.0)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 53 (53)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:53:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:54:other_maxPool:maxPool_i|                    ; 504.6 (0.0)          ; 711.7 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 62 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:54:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 9.1 (9.1)            ; 11.1 (11.1)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:54:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 495.5 (495.5)        ; 700.6 (700.6)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 53 (53)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:54:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:55:other_maxPool:maxPool_i|                    ; 504.8 (0.0)          ; 711.8 (0.0)                      ; 207.0 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 62 (0)              ; 1395 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:55:other_maxPool:maxPool_i                                                                                                                                                                           ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 9.2 (9.2)            ; 11.2 (11.2)                      ; 2.0 (2.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:55:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                          ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 495.6 (495.6)        ; 700.7 (700.7)                    ; 205.1 (205.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 53 (53)             ; 1377 (1377)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:55:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                          ; poolV           ; work         ;
